16523611eae7d6427bcc568e01078f467f81f8b;2;1
45189776e26e2072e87e98c1fe36d74ce1a5fc61;4;1
16290005e9b5f67fafb6932627e38d0baf5e0d2c;2;1
481644159ff736cdbe5dbfaeffd5f9513a01ccf1;2;1
486548403f9ebb3585515e2e94632537396b1e70;2;1
6681910e7a64cd7aefe6fc9044994bb7ad2f562;2;2
241816541d16f84427be3aec64c86aca2e9608e2;2;3
1255358d48ed1f5da048aa9c7fada1bc619f2cb;2;1
131141519e26f2152fb7baa458cbe300efef2f45;2;1
87754742a1b5fdc527afdde2e5a9e9291e0dcd;4;1
72003147301860eba43c98b91677752aa0920f1e;2;1
346328f09b11dbfa051de53e2a93afd447a903;2;1
95084659960389f0f3d8e6710eb0b525e4a030d;2;2
626063903232b62e70e5c776d3790e02ac7e0e37;2;1
378852132de8c393272539e17cd8085c3aee003c;2;1
6677340cbed03386d85e49c4b77ac981ec17165;2;1
790811de2a125d190cb6ff130ca06c003992dc;2;1
47778233314f2491ce5dd0bef5bd59a397ea9ab;2;1
4266134897fae031b5f6308c923177e7cdc08a02;2;1
305300307990a44e2063bb6f5641aa02ccce25e1;2;1
36293563fd231bd0d5ee6cbb5884e44f119ea8f;2;1
165426306cd5daa8353261cd75f139b5139c66855;2;1
753876708ac6d6ce1484fe52db6a3b8b6a974674;4;1
7995594353ee639a017221b05e8b1cbaa8568b1;2;2
2525479175e62c2bc2e63cb15633098762c73018;2;2
12973335829c7d6c696fe11780f329ab1932079cc;2;2
2759738020c2876beed179a0dc41b6b89f9707a7;2;1
27180651f5baea2c949c2d7a2f6aeaf9d2410d72;2;1
365464309047620dce848a0eb9bde21fa83e9d0;2;3
5283299826063e1013a0198cca0a6b6105c92a7;2;1
410128944178f9bec99ca40a3dd4c5882d7bc6;4;3
239700316c378097803a4c42ec3dc18927d30baf;2;2
19217262244dc790528c3b40a9ec5ff77edf5028;2;2
9022782afa02c3f5192b91366c26ff0e288d512;4;1
51034309ff40a64a070530aaea38911390f8985b;2;1
519047975c97397fc913b217d00f0039ae2444b2;2;3
457113784a8d7f26217a449b457aee40d9ecda17;4;1
49750470599d507df404e1cb3ecc1a01f4bc810;4;1
696689110ab1d42692dbad36cd42c0a5dd071f3;4;1
42615787a48092a4e70bd12d049eac6a1b6ed6a0;2;1
1297950836484d6d2b5ae677febdd71eb7df49538;4;1
125137432754ae50e29abb8bf0fd4e86ca94608ae;2;2
47008715a98b09f29863da67dffcc518cfeba8ef;2;1
464472545c3509728a37ada47e77d91fbaa3c98;3;1
7827174854a8403074d04c093a610068f49739a5;2;1
3508717250c32739aed12e87389f74c08642fa6;4;1
17825801ade47dc14b4351b7ed4b9481643a03a;3;1
117055918180da1dad14258e692bc67ef161278;4;1
418218792e2b2e653cec11db7245888571707f50;2;2
6637099159dab092a7f366e7f9556a778d8cafcb;1;3
1376675113a1a381f83f4d014e055e719ae67916;2;1
210652333b869c23f48a823461a16d8ed6c5234f;2;3
58968150f20adc164bc4d3803923bfc22de454d;1;2
157300557ad8a7e72b9c7805dc679b4ec55b64cb;1;2
54816514ec57649579b05fd47b6cfee293b3dbb2;3;1
927317232955167f3b978f6e49e2ef766531157;4;2
145991960c1374098e23f96d400594396f2e4ada4;1;3
1273587ac33246a5425eb2c96dd260009c8eb5a;4;1
648152942f9beb3237817d9a14825a762b67377;4;1
1518062cd0c85a3031d319eff49e299ffa23b02;2;3
17573869d463c4c628c4edb3e44e65f9d48a598d;2;1
359826434371d039ac180dffcc8c9d469ee9ad00;2;3
1139280937f57afa00aa6a6e7ab0ea0cf41cdca4;2;2
11132121c73808303c9250fa5c29d7fd00f2ce41;2;2
24963224ac8465148761062308ec5feb2e5a246f;2;1
43454517e69d40e9afc2aa7af31a18e0cabb260;4;1
42802488fc69a2d076e1d7d63858960f66784c7;3;2
6008796b033cee28a9cd21365b5d4be32b867d;2;1
77829920173f6aac117c822bb8524a3b78d27608;2;3
1678156774a1e1de499141af0802e3ffa32d5a44;2;3
39655432c7f9c3f77447511086b64ea127b989c;2;2
48115937a828bbf3503b76337eebc75a41414753;2;2
31137901ee2a1dabda0b327f1755c0f74ad90b2d;2;2
1567520690153d17f4fd233a6478c9390d415427;3;2
93920959a25a34de39a91a9a5a71493d7e33d0d;2;3
631708664ca23c81fd791698d900923e8f78f22c;3;2
1013310a26ab337542cc59fed382fbbbaa6918a;4;3
1280891f8dfe572070bf22b0730295bdc1cfd24;2;2
2644979938470c14385c6c702dc7dcc8d7fc44e;3;2
22222862d16ecbd2b8db84b779a4dd58712db532;4;2
14548760300a4b64c646c2280ec1c02f82653014c;3;3
130151240853f35721c8afc15e8fab4f4ff4fc5;2;2
109728825e73cc16afa083efdcc4325cbc50bb277;4;3
2545672fcfe67b044d07ce0cff6e07a10c8bb1a;4;2
60828690cab391565434e4c2f771cbe10319b3ac;4;3
